央视,#genre#
CCTV2,http://116.252.28.195:9099/udp/239.81.0.115:4056
CCTV2,http://116.252.28.195:9099/udp/239.81.0.14:4056
CCTV3,http://116.252.28.195:9099/udp/239.81.0.231:4056
CCTV4,http://116.252.28.195:9099/udp/239.81.0.96:4056
CCTV4,http://116.252.28.195:9099/udp/239.81.0.16:4056
CCTV5,http://116.252.28.195:9099/udp/239.81.0.232:4056
CCTV5,http://116.252.28.195:9099/udp/239.81.0.101:4056
CCTV6,http://116.252.28.195:9099/udp/239.81.0.233:4056
CCTV7,http://116.252.28.195:9099/udp/239.81.0.116:4056
CCTV7,http://116.252.28.195:9099/udp/239.81.0.19:4056
CCTV8,http://116.252.28.195:9099/udp/239.81.0.234:4056
CCTV9,http://116.252.28.195:9099/udp/239.81.0.117:4056
CCTV9,http://116.252.28.195:9099/udp/239.81.0.21:4056
CCTV10,http://116.252.28.195:9099/udp/239.81.0.118:4056
CCTV10,http://116.252.28.195:9099/udp/239.81.0.22:4056
CCTV11,http://116.252.28.195:9099/udp/239.81.0.229:4056
CCTV11,http://116.252.28.195:9099/udp/239.81.0.23:4056
CCTV12,http://116.252.28.195:9099/udp/239.81.0.119:4056
CCTV12,http://116.252.28.195:9099/udp/239.81.0.24:4056
CCTV13,http://116.252.28.195:9099/udp/239.81.0.26:4056
CCTV13,http://116.252.28.195:9099/udp/239.81.0.206:4056
CCTV14,http://116.252.28.195:9099/udp/239.81.0.120:4056
CCTV14,http://116.252.28.195:9099/udp/239.81.0.25:4056
CCTV15,http://116.252.28.195:9099/udp/239.81.0.230:4056
CCTV15,http://116.252.28.195:9099/udp/239.81.0.27:4056
CCTV17,http://116.252.28.195:9099/udp/239.81.0.228:4056
CCTV17,http://116.252.28.195:9099/udp/239.81.0.227:4056
CCTV中学生,http://116.252.28.195:9099/udp/239.81.0.87:4056
CETV1,http://116.252.28.195:9099/udp/239.81.0.92:4056
CETV1,http://116.252.28.195:9099/udp/239.81.0.52:4056
CETV2,http://116.252.28.195:9099/udp/239.81.0.245:4056
CETV4,http://116.252.28.195:9099/udp/239.81.0.246:4056
CCTV4,http://116.252.28.195:9099/udp/239.81.0.69:4056
CCTV4,http://116.252.28.195:9099/udp/239.81.0.71:4056
CCTV1,http://49.65.90.128:8800/rtp/239.49.8.129:6000
CCTV2,http://49.65.90.128:8800/rtp/239.49.8.130:6000
CCTV3,http://49.65.90.128:8800/rtp/239.49.9.31:6000
CCTV4,http://49.65.90.128:8800/rtp/239.49.8.131:6000
CCTV5,http://49.65.90.128:8800/rtp/239.49.9.32:6000
CCTV5,http://49.65.90.128:8800/rtp/239.49.8.137:6000
CCTV6,http://49.65.90.128:8800/rtp/239.49.9.33:6000
CCTV7,http://49.65.90.128:8800/rtp/239.49.8.132:6000
CCTV8,http://49.65.90.128:8800/rtp/239.49.9.34:6000
CCTV9,http://49.65.90.128:8800/rtp/239.49.8.133:6000
CCTV10,http://49.65.90.128:8800/rtp/239.49.8.134:6000
CCTV12,http://49.65.90.128:8800/rtp/239.49.8.135:6000
CCTV13,http://49.65.90.128:8800/rtp/239.49.9.43:6000
CCTV14,http://49.65.90.128:8800/rtp/239.49.8.136:6000
CCTV1,http://49.65.90.128:8800/rtp/239.49.1.1:6000
CCTV2,http://49.65.90.128:8800/rtp/239.49.1.2:6000
CCTV3,http://49.65.90.128:8800/rtp/239.49.1.3:6000
CCTV4,http://49.65.90.128:8800/rtp/239.49.1.4:6000
CCTV5,http://49.65.90.128:8800/rtp/239.49.1.5:6000
CCTV6,http://49.65.90.128:8800/rtp/239.49.1.6:6000
CCTV7,http://49.65.90.128:8800/rtp/239.49.1.254:6000
CCTV8,http://49.65.90.128:8800/rtp/239.49.1.8:6000
CCTV10,http://49.65.90.128:8800/rtp/239.49.1.10:6000
CCTV11,http://49.65.90.128:8800/rtp/239.49.1.11:6000
CCTV12,http://49.65.90.128:8800/rtp/239.49.1.12:6000
CCTV13,http://49.65.90.128:8800/rtp/239.49.1.13:6000
CCTV14,http://49.65.90.128:8800/rtp/239.49.1.14:6000
CCTV15,http://49.65.90.128:8800/rtp/239.49.1.15:6000
CCTV17,http://49.65.90.128:8800/rtp/239.49.1.7:6000
CCTV1,http://116.25.242.161:18888/udp/239.77.1.17:5146
CCTV1,http://116.25.242.161:18888/udp/239.77.1.144:5146
CCTV1,http://116.25.242.161:18888/udp/239.77.0.86:5146
CCTV1,http://116.25.242.161:18888/udp/239.77.0.129:5146
CCTV2,http://116.25.242.161:18888/udp/239.77.1.158:5146
CCTV2,http://116.25.242.161:18888/udp/239.253.43.17:5146
CCTV2,http://116.25.242.161:18888/udp/239.77.0.137:5146
CCTV3,http://116.25.242.161:18888/udp/239.77.0.169:5146
CCTV3,http://116.25.242.161:18888/udp/239.77.0.175:5146
CCTV4,http://116.25.242.161:18888/udp/239.77.1.163:5146
CCTV4,http://116.25.242.161:18888/udp/239.77.1.166:5146
CCTV4,http://116.25.242.161:18888/udp/239.77.0.78:5146
CCTV5,http://116.25.242.161:18888/udp/239.77.0.170:5146
CCTV5,http://116.25.242.161:18888/udp/239.77.0.177:5146
CCTV5,http://116.25.242.161:18888/udp/239.77.0.87:5146
CCTV5,http://116.25.242.161:18888/udp/239.77.1.31:5146
CCTV5,http://116.25.242.161:18888/udp/239.77.1.147:5146
CCTV6,http://116.25.242.161:18888/udp/239.77.0.171:5146
CCTV6,http://116.25.242.161:18888/udp/239.77.0.178:5146
CCTV7,http://116.25.242.161:18888/udp/239.77.1.159:5146
CCTV7,http://116.25.242.161:18888/udp/239.77.1.167:5146
CCTV7,http://116.25.242.161:18888/udp/239.77.0.138:5146
CCTV8,http://116.25.242.161:18888/udp/239.77.0.172:5146
CCTV8,http://116.25.242.161:18888/udp/239.77.0.181:5146
CCTV9,http://116.25.242.161:18888/udp/239.77.1.160:5146
CCTV9,http://116.25.242.161:18888/udp/239.77.1.168:5146
CCTV9,http://116.25.242.161:18888/udp/239.77.0.135:5146
CCTV10,http://116.25.242.161:18888/udp/239.77.1.113:5146
CCTV10,http://116.25.242.161:18888/udp/239.77.1.169:5146
CCTV10,http://116.25.242.161:18888/udp/239.77.0.134:5146
CCTV11,http://116.25.242.161:18888/udp/239.77.1.238:5146
CCTV12,http://116.25.242.161:18888/udp/239.77.1.109:5146
CCTV12,http://116.25.242.161:18888/udp/239.77.1.170:5146
CCTV12,http://116.25.242.161:18888/udp/239.77.0.136:5146
CCTV13,http://116.25.242.161:18888/udp/239.77.0.188:5146
CCTV13,http://116.25.242.161:18888/udp/239.253.43.196:5146
CCTV14,http://116.25.242.161:18888/udp/239.77.1.161:5146
CCTV14,http://116.25.242.161:18888/udp/239.77.1.171:5146
CCTV14,http://116.25.242.161:18888/udp/239.77.0.133:5146
CCTV15,http://116.25.242.161:18888/udp/239.77.1.239:5146
CCTV16,http://116.25.242.161:18888/udp/239.77.0.165:5146
CCTV16,http://116.25.242.161:18888/udp/239.77.1.76:5146
CCTV16,http://116.25.242.161:18888/udp/239.77.1.98:5146
CCTV17,http://116.25.242.161:18888/udp/239.77.1.121:5146
CCTV4,http://116.25.242.161:18888/udp/239.77.0.194:5146
CCTV4,http://116.25.242.161:18888/udp/239.77.0.174:5146
卫视,#genre#
天津卫视,http://60.164.228.34:4040/udp/239.255.30.67:8231
重庆卫视,http://60.164.228.34:4040/udp/239.255.30.89:8231
浙江卫视,http://60.164.228.34:4040/udp/239.255.30.132:8231
云南卫视,http://60.164.228.34:4040/udp/239.255.29.2:8231
四川卫视,http://60.164.228.34:4040/udp/239.255.30.91:8231
深圳卫视,http://60.164.228.34:4040/udp/239.255.30.135:8231
山东卫视,http://60.164.228.34:4040/udp/239.255.30.139:8231
三沙卫视,http://60.164.228.34:4040/udp/239.255.29.46:8231
辽宁卫视,http://60.164.228.34:4040/udp/239.255.30.69:8231
江西卫视,http://60.164.228.34:4040/udp/239.255.30.71:8231
江苏卫视,http://60.164.228.34:4040/udp/239.255.30.131:8231
吉林卫视,http://60.164.228.34:4040/udp/239.255.29.5:8231
湖南卫视,http://60.164.228.34:4040/udp/239.255.30.136:8231
湖北卫视,http://60.164.228.34:4040/udp/239.255.30.138:8231
黑龙江卫视,http://60.164.228.34:4040/udp/239.255.30.137:8231
河南卫视,http://60.164.228.34:4040/udp/239.255.29.3:8231
河北卫视,http://60.164.228.34:4040/udp/239.255.30.85:8231
海南卫视,http://60.164.228.34:4040/udp/239.255.30.99:8231
贵州卫视,http://60.164.228.34:4040/udp/239.255.30.98:8231
广西卫视,http://60.164.228.34:4040/udp/239.255.29.4:8231
广东卫视,http://60.164.228.34:4040/udp/239.255.30.134:8231
东南卫视,http://60.164.228.34:4040/udp/239.255.30.86:8231
东方卫视,http://60.164.228.34:4040/udp/239.255.30.130:8231
北京卫视,http://60.164.228.34:4040/udp/239.255.30.133:8231
安徽卫视,http://60.164.228.34:4040/udp/239.255.30.84:8231
吉林卫视,http://49.83.225.47:4022/rtp/239.49.9.1:6000
江苏卫视,http://49.83.225.47:4022/rtp/239.49.1.16:6000
青海卫视,http://49.83.225.47:4022/rtp/239.49.1.31:6000
东方卫视,http://49.83.225.47:4022/rtp/239.49.1.32:6000
北京卫视,http://49.83.225.47:4022/rtp/239.49.1.33:6000
浙江卫视,http://49.83.225.47:4022/rtp/239.49.1.34:6000
辽宁卫视,http://49.83.225.47:4022/rtp/239.49.1.35:6000
安徽卫视,http://49.83.225.47:4022/rtp/239.49.1.36:6000
山东卫视,http://49.83.225.47:4022/rtp/239.49.1.37:6000
湖南卫视,http://49.83.225.47:4022/rtp/239.49.1.38:6000
广东卫视,http://49.83.225.47:4022/rtp/239.49.1.39:6000
广西卫视,http://49.83.225.47:4022/rtp/239.49.1.40:6000
海南卫视,http://49.83.225.47:4022/rtp/239.49.1.41:6000
重庆卫视,http://49.83.225.47:4022/rtp/239.49.1.42:6000
四川卫视,http://49.83.225.47:4022/rtp/239.49.1.43:6000
河南卫视,http://49.83.225.47:4022/rtp/239.49.1.44:6000
东南卫视,http://49.83.225.47:4022/rtp/239.49.1.45:6000
天津卫视,http://49.83.225.47:4022/rtp/239.49.1.46:6000
江西卫视,http://49.83.225.47:4022/rtp/239.49.1.47:6000
湖北卫视,http://49.83.225.47:4022/rtp/239.49.1.48:6000
吉林卫视,http://49.83.225.47:4022/rtp/239.49.1.49:6000
黑龙江卫视,http://49.83.225.47:4022/rtp/239.49.1.50:6000
山西卫视,http://49.83.225.47:4022/rtp/239.49.1.51:6000
贵州卫视,http://49.83.225.47:4022/rtp/239.49.1.52:6000
青海卫视,http://49.83.225.47:4022/rtp/239.49.1.53:6000
深圳卫视,http://49.83.225.47:4022/rtp/239.49.1.59:6000
西藏卫视,http://49.83.225.47:4022/rtp/239.49.1.139:6000
云南卫视,http://49.83.225.47:4022/rtp/239.49.1.235:6000
河北卫视,http://49.83.225.47:4022/rtp/239.49.1.236:6000
宁夏卫视,http://49.83.225.47:4022/rtp/239.49.1.237:6000
甘肃卫视,http://49.83.225.47:4022/rtp/239.49.1.238:6000
新疆卫视,http://49.83.225.47:4022/rtp/239.49.1.239:6000
内蒙古卫视,http://49.83.225.47:4022/rtp/239.49.1.240:6000
陕西卫视,http://49.83.225.47:4022/rtp/239.49.1.248:6000
南方卫视,http://49.83.225.47:4022/rtp/239.49.1.249:6000
江苏卫视,http://49.83.225.47:4022/rtp/239.49.8.138:6000
浙江卫视,http://49.83.225.47:4022/rtp/239.49.8.139:6000
东方卫视,http://49.83.225.47:4022/rtp/239.49.8.140:6000
北京卫视,http://49.83.225.47:4022/rtp/239.49.8.141:6000
湖南卫视,http://49.83.225.47:4022/rtp/239.49.8.142:6000
广东卫视,http://49.83.225.47:4022/rtp/239.49.8.143:6000
黑龙江卫视清,http://49.83.225.47:4022/rtp/239.49.8.144:6000
深圳卫视,http://49.83.225.47:4022/rtp/239.49.8.145:6000
山东卫视,http://49.83.225.47:4022/rtp/239.49.8.146:6000
湖北卫视,http://49.83.225.47:4022/rtp/239.49.8.147:6000
天津卫视,http://49.83.225.47:4022/rtp/239.49.8.148:6000
重庆卫视,http://49.83.225.47:4022/rtp/239.49.8.149:6000
辽宁卫视,http://49.83.225.47:4022/rtp/239.49.8.173:6000
贵州卫视,http://49.83.225.47:4022/rtp/239.49.8.174:6000
四川卫视,http://49.83.225.47:4022/rtp/239.49.8.184:6000
